theta1,theta2,theta3,theta4,theta5,dtheta1,dtheta2,dtheta3,dtheta4,dtheta5,ddtheta1,ddtheta2,ddtheta3,ddtheta4,ddtheta5,Re_1x,Re_1y,Re_2x,Re_2y,Re_3x,Re_3y,Re_4x,Re_4y,Re_5x,Re_5y
0.67625,3.18164,-0.038792,3.18783,-0.0310287,6.10467,0.358532,-0.367948,0.441862,-0.294158,19.0082,1.10011,-1.78227,2.14758,-1.41789,-3.25889,-2.49142,0.0371334,-1.80751,-0.0114251,-1.49951,0.0461188,-0.999617,-0.0367314,-0.398216
0.738325,3.18528,-0.0425605,3.19236,-0.0340411,6.31737,0.370601,-0.385709,0.463245,-0.308306,17.2945,1.02456,-1.78702,2.15475,-1.42012,-3.27293,-2.92085,0.0387418,-1.78872,-0.0124846,-1.50225,0.0507646,-1.00141,-0.0403504,-0.39865
0.802448,3.18904,-0.0465067,3.1971,-0.0371951,6.51491,0.381956,-0.403511,0.484691,-0.322475,15.4521,0.946373,-1.79221,2.16259,-1.42246,-3.2274,-3.36104,0.0400798,-1.76933,-0.0135827,-1.50516,0.0556613,-1.00329,-0.0441464,-0.399085
0.868461,3.19292,-0.0506313,3.20205,-0.040491,6.696,0.392571,-0.421359,0.506205,-0.336665,13.4873,0.86571,-1.79785,2.17116,-1.4249,-3.11792,-3.80224,0.0411141,-1.74939,-0.014717,-1.50822,0.0608162,-1.00527,-0.0481204,-0.399517
0.936193,3.19689,-0.0549346,3.20722,-0.0439288,6.85931,0.402417,-0.439257,0.527794,-0.350879,11.4088,0.782742,-1.80398,2.18051,-1.42745,-2.94196,-4.2335,0.0418138,-1.72895,-0.0158845,-1.51145,0.066237,-1.00734,-0.0522735,-0.399946
1.00546,3.20096,-0.0594172,3.21261,-0.0475089,7.00362,0.41147,-0.45721,0.549466,-0.365116,9.228,0.697649,-1.81066,2.19069,-1.4301,-2.69918,-4.64307,0.0421499,-1.70807,-0.0170818,-1.51485,0.0719327,-1.0095,-0.0566071,-0.400366
1.07607,3.20511,-0.0640796,3.21821,-0.0512315,7.12774,0.419705,-0.475221,0.571227,-0.379379,6.95865,0.610621,-1.81791,2.20176,-1.43286,-2.39165,-5.01882,0.0420963,-1.68683,-0.0183055,-1.51842,0.0779131,-1.01177,-0.0611222,-0.400776
1.14781,3.20934,-0.0689224,3.22403,-0.0550969,7.23061,0.4271,-0.493296,0.593087,-0.393667,4.61674,0.521856,-1.82579,2.21378,-1.43573,-2.02398,-5.34887,0.0416298,-1.66528,-0.0195513,-1.52218,0.0841892,-1.01412,-0.0658202,-0.401171
1.22046,3.21364,-0.0739464,3.23007,-0.0591053,7.31128,0.433636,-0.511442,0.615052,-0.407983,2.22014,0.431556,-1.83435,2.22681,-1.43871,-1.60331,-5.62216,0.0407305,-1.6435,-0.0208151,-1.52613,0.0907731,-1.01658,-0.0707023,-0.40155
1.2938,3.21801,-0.0791522,3.23634,-0.063257,7.36894,0.439293,-0.529663,0.637134,-0.422326,-0.211782,0.339928,-1.84367,2.24092,-1.44179,-1.13909,-5.82903,0.0393819,-1.62156,-0.0220922,-1.53029,0.0976783,-1.01913,-0.0757698,-0.401907
1.3676,3.22242,-0.0845407,3.24282,-0.0675523,7.40298,0.444055,-0.547966,0.659341,-0.436699,-2.65863,0.247179,-1.85379,2.25617,-1.44498,-0.642786,-5.96179,0.0375712,-1.59953,-0.0233774,-1.53466,0.104919,-1.02178,-0.0810239,-0.402239
1.44163,3.22688,-0.0901126,3.24952,-0.0719915,7.41294,0.447908,-0.566359,0.681684,-0.451102,-5.09953,0.153513,-1.86481,2.27263,-1.44828,-0.127361,-6.01519,0.0352895,-1.57749,-0.0246656,-1.53924,0.112512,-1.02452,-0.086466,-0.402543
1.51562,3.23137,-0.095869,3.25645,-0.0765748,7.39857,0.450841,-0.58485,0.704173,-0.465537,-7.51366,0.0591317,-1.8768,2.29038,-1.45169,0.393309,-5.98671,0.0325318,-1.55552,-0.0259513,-1.54407,0.120476,-1.02736,-0.0920974,-0.402814
1.58936,3.23589,-0.101811,3.26361,-0.0813027,7.35983,0.452841,-0.603446,0.726822,-0.480004,-9.88083,-0.0357736,-1.88985,2.30949,-1.45521,0.905109,-5.87673,0.0292965,-1.53368,-0.0272288,-1.54914,0.128828,-1.03028,-0.0979195,-0.403049
1.66258,3.24042,-0.107939,3.27099,-0.0861754,7.29689,0.453903,-0.622158,0.749642,-0.494504,-12.182,-0.131022,-1.90408,2.33004,-1.45883,1.39437,-5.6885,0.0255859,-1.51205,-0.0284927,-1.55447,0.137591,-1.0333,-0.103934,-0.403242
1.73506,3.24495,-0.114256,3.2786,-0.0911933,7.2101,0.454018,-0.640995,0.772646,-0.509039,-14.3997,-0.226445,-1.9196,2.35212,-1.46257,1.84851,-5.42794,0.0214057,-1.4907,-0.0297375,-1.56009,0.146788,-1.0364,-0.110141,-0.40339
1.80655,3.24949,-0.120761,3.28645,-0.0963568,7.10004,0.453183,-0.659969,0.79585,-0.52361,-16.5186,-0.321895,-1.93653,2.3758,-1.46642,2.25663,-5.1033,0.0167645,-1.46969,-0.0309579,-1.56601,0.156443,-1.03958,-0.116543,-0.403487
1.87684,3.25401,-0.127457,3.29452,-0.101666,6.96743,0.451395,-0.679093,0.819266,-0.538218,-18.5256,-0.41724,-1.95503,2.40118,-1.47039,2.60994,-4.72465,0.0116738,-1.44909,-0.0321492,-1.57225,0.166585,-1.04284,-0.123141,-0.403529
1.94569,3.25851,-0.134345,3.30284,-0.107122,6.81318,0.448654,-0.698379,0.842912,-0.552864,-20.4102,-0.512375,-1.97525,2.42835,-1.47446,2.9021,-4.30332,0.00614694,-1.42896,-0.0333076,-1.57883,0.177243,-1.04616,-0.129936,-0.403511
2.0129,3.26297,-0.141426,3.31138,-0.112724,6.63835,0.444958,-0.717842,0.866803,-0.567548,-22.1647,-0.607216,-1.99738,2.45739,-1.47865,3.12929,-3.85129,0.000199084,-1.40935,-0.0344302,-1.58578,0.188448,-1.04954,-0.136929,-0.403428
2.07826,3.2674,-0.148704,3.32017,-0.118473,6.44409,0.440311,-0.7375,0.890957,-0.582273,-23.784,-0.70171,-2.02161,2.48842,-1.48296,3.29025,-3.38059,-0.00615388,-1.3903,-0.0355154,-1.59313,0.200235,-1.05298,-0.144123,-0.403274
2.1416,3.27177,-0.156179,3.32921,-0.12437,6.23165,0.434714,-0.75737,0.915393,-0.597039,-25.2654,-0.795829,-2.04817,2.52152,-1.48738,3.38611,-2.90279,-0.0128959,-1.37186,-0.0365636,-1.60091,0.212641,-1.05645,-0.151517,-0.403043
2.20273,3.27608,-0.163854,3.33849,-0.130415,6.00236,0.428171,-0.777473,0.940129,-0.611848,-26.6089,-0.889578,-2.07731,2.55681,-1.49191,3.42007,-2.42849,-0.0200116,-1.35406,-0.0375774,-1.60916,0.225706,-1.05994,-0.159114,-0.402731
2.26149,3.28032,-0.171731,3.34801,-0.136608,5.75757,0.420684,-0.797831,0.965186,-0.6267,-27.8167,-0.98299,-2.1093,2.59439,-1.49657,3.3971,-1.96701,-0.0274873,-1.33693,-0.0385624,-1.6179,0.239474,-1.06344,-0.166914,-0.402331
2.31774,3.28449,-0.179813,3.35779,-0.142949,5.49865,0.412258,-0.818467,0.990586,-0.641598,-28.8928,-1.07613,-2.14444,2.63436,-1.50134,3.32349,-1.52615,-0.0353118,-1.3205,-0.0395276,-1.62718,0.253989,-1.06694,-0.174918,-0.401836
2.37134,3.28856,-0.188104,3.36783,-0.14944,5.22696,0.402896,-0.839411,1.01635,-0.656541,-29.8429,-1.16909,-2.18308,2.67685,-1.50623,3.20645,-1.11205,-0.0434777,-1.30478,-0.0404866,-1.63704,0.269301,-1.07039,-0.183128,-0.401241
2.42217,3.29254,-0.196605,3.37812,-0.156081,4.94383,0.392601,-0.860691,1.0425,-0.671531,-30.6739,-1.262,-2.22559,2.72196,-1.51125,3.05374,-0.729191,-0.0519822,-1.28977,-0.041458,-1.64753,0.285462,-1.07379,-0.191544,-0.40054
2.47012,3.2964,-0.205322,3.38868,-0.162872,4.65056,0.381375,-0.882341,1.06907,-0.686569,-31.394,-1.355,-2.27238,2.76983,-1.51638,2.87324,-0.380477,-0.0608284,-1.2755,-0.0424666,-1.65871,0.302528,-1.07711,-0.200168,-0.399724
2.51509,3.30015,-0.214257,3.39951,-0.169813,4.34835,0.369219,-0.904399,1.09607,-0.701658,-32.0118,-1.44828,-2.32392,2.82056,-1.52164,2.67271,-0.0673491,-0.0700266,-1.26195,-0.043545,-1.67061,0.320559,-1.0803,-0.208999,-0.398788
2.55701,3.30378,-0.223414,3.41061,-0.176906,4.03836,0.356133,-0.926904,1.12354,-0.716796,-32.5365,-1.54203,-2.38071,2.87428,-1.52703,2.45952,0.210007,-0.0795956,-1.24913,-0.0447343,-1.68331,0.339617,-1.08334,-0.21804,-0.397724
2.5958,3.30727,-0.2328,3.42199,-0.18415,3.72165,0.342115,-0.949903,1.1515,-0.731987,-32.9775,-1.63646,-2.44331,2.93113,-1.53254,2.24046,0.452446,-0.089564,-1.23703,-0.0460858,-1.69685,0.359768,-1.08617,-0.227291,-0.396525
2.63139,3.31061,-0.242418,3.43365,-0.191546,3.3992,0.327162,-0.973445,1.17999,-0.747231,-33.3441,-1.73182,-2.51232,2.99123,-1.53818,2.02163,0.661642,-0.0999719,-1.22565,-0.0476633,-1.71131,0.381084,-1.08876,-0.236752,-0.395184
2.66373,3.3138,-0.252275,3.44559,-0.199095,3.07189,0.311266,-0.997586,1.20903,-0.76253,-33.6456,-1.82833,-2.58843,3.05472,-1.54395,1.80841,0.83986,-0.110872,-1.21497,-0.0495442,-1.72674,0.403638,-1.09104,-0.246424,-0.393692
2.69279,3.31683,-0.262377,3.45783,-0.206798,2.7405,0.294421,-1.02239,1.23865,-0.777884,-33.8909,-1.92624,-2.67238,3.12173,-1.54986,1.60537,0.989749,-0.122332,-1.205,-0.0518224,-1.74322,0.427509,-1.09297,-0.256307,-0.392042
2.71851,3.31968,-0.272731,3.47037,-0.214654,2.40575,0.276616,-1.04792,1.26889,-0.793296,-34.0885,-2.02577,-2.76498,3.1924,-1.55589,1.41638,1.11416,-0.134437,-1.19572,-0.0546104,-1.76081,0.452779,-1.09446,-0.266401,-0.390225
2.74087,3.32235,-0.283344,3.48322,-0.222665,2.06824,0.257837,-1.07425,1.29979,-0.808765,-34.2469,-2.12715,-2.86712,3.26687,-1.56207,1.24458,1.21597,-0.147287,-1.18713,-0.0580426,-1.77958,0.479533,-1.09544,-0.276707,-0.388233
2.75985,3.32483,-0.294225,3.49638,-0.23083,1.72848,0.238071,-1.10147,1.33137,-0.824295,-34.3736,-2.23056,-2.97977,3.34529,-1.56838,1.09247,1.29798,-0.161008,-1.17925,-0.062278,-1.79959,0.507862,-1.09582,-0.287225,-0.386057
2.77543,3.3271,-0.305383,3.50985,-0.239151,1.38691,0.2173,-1.12966,1.36368,-0.839886,-34.4764,-2.33615,-3.10399,3.42778,-1.57483,0.962021,1.36275,-0.175744,-1.17207,-0.0675039,-1.82091,0.537857,-1.09552,-0.297954,-0.383689
2.78758,3.32916,-0.316829,3.52366,-0.247629,1.04389,0.195504,-1.15893,1.39675,-0.855539,-34.5622,-2.44399,-3.24093,3.51451,-1.58143,0.854677,1.41258,-0.191668,-1.16561,-0.0739403,-1.84359,0.569616,-1.09441,-0.308894,-0.381118
2.79629,3.331,-0.328574,3.5378,-0.256263,0.699705,0.172662,-1.18939,1.43063,-0.871255,-34.6383,-2.55411,-3.39186,3.60561,-1.58817,0.77149,1.4494,-0.208979,-1.15992,-0.0818435,-1.86767,0.603238,-1.09239,-0.320045,-0.378336
2.80156,3.33261,-0.340631,3.55228,-0.265055,0.35455,0.148754,-1.22116,1.46536,-0.887038,-34.7116,-2.6664,-3.55814,3.70124,-1.59506,0.713162,1.47475,-0.227908,-1.15503,-0.0915119,-1.8932,0.638826,-1.08932,-0.331406,-0.375333
2.80338,3.33397,-0.353012,3.56711,-0.274005,0.0085609,0.123755,-1.25438,1.50098,-0.902886,-34.7894,-2.78066,-3.74124,3.80152,-1.6021,0.680115,1.48973,-0.248723,-1.151,-0.103291,-1.9202,0.676484,-1.08506,-0.342977,-0.3721
2.80173,3.33507,-0.365735,3.58231,-0.283114,-0.338199,0.0976453,-1.28918,1.53753,-0.918803,-34.879,-2.89651,-3.94275,3.90662,-1.6093,0.672542,1.49501,-0.271729,-1.14792,-0.117579,-1.94865,0.71632,-1.07943,-0.354756,-0.368625
2.7966,3.33591,-0.378814,3.59787,-0.292382,-0.685738,0.0704035,-1.32574,1.57506,-0.93479,-34.9888,-3.01338,-4.16441,4.01668,-1.61665,0.690456,1.49079,-0.297273,-1.1459,-0.134835,-1.97853,0.758441,-1.07227,-0.366742,-0.364898
2.788,3.33647,-0.392269,3.61382,-0.301811,-1.03414,0.0420127,-1.36422,1.61362,-0.950848,-35.1277,-3.13047,-4.40804,4.13183,-1.62416,0.733723,1.47682,-0.325751,-1.14507,-0.155584,-2.00977,0.802955,-1.06337,-0.378934,-0.36091
2.77591,3.33674,-0.40612,3.63016,-0.3114,-1.38357,0.0124606,-1.40483,1.65325,-0.966978,-35.3059,-3.24667,-4.67564,4.25221,-1.63184,0.802094,1.45237,-0.357614,-1.1456,-0.180426,-2.04226,0.849971,-1.05253,-0.391329,-0.356648
2.76032,3.3367,-0.42039,3.6469,-0.321151,-1.73427,-0.0182582,-1.44777,1.69401,-0.983183,-35.535,-3.36055,-4.96932,4.37795,-1.63968,0.895233,1.41625,-0.39337,-1.14769,-0.210044,-2.07582,0.899593,-1.03949,-0.403927,-0.352102
2.74121,3.33636,-0.435102,3.66405,-0.331065,-2.0866,-0.0501392,-1.49327,1.73595,-0.999464,-35.8287,-3.47024,-5.29132,4.5092,-1.64769,1.01273,1.36678,-0.433592,-1.15161,-0.245211,-2.11022,0.951924,-1.024,-0.416725,-0.34726
2.71856,3.33569,-0.450284,3.68163,-0.341142,-2.441,-0.0831651,-1.54159,1.77912,-1.01582,-36.2026,-3.57337,-5.64402,4.64606,-1.65588,1.15413,1.30177,-0.478927,-1.15766,-0.286805,-2.14512,1.00706,-1.00577,-0.42972,-0.34211
2.69236,3.33468,-0.465965,3.69965,-0.351383,-2.79807,-0.117302,-1.59299,1.82357,-1.03226,-36.675,-3.66697,-6.02994,4.78865,-1.66425,1.31893,1.21847,-0.530104,-1.1662,-0.335809,-2.18008,1.0651,-0.98448,-0.44291,-0.33664
2.66257,3.33333,-0.482178,3.71811,-0.361788,-3.15853,-0.152494,-1.64777,1.86937,-1.04878,-37.2671,-3.74734,-6.45167,4.93709,-1.67279,1.50659,1.1135,-0.58794,-1.17768,-0.393327,-2.21455,1.12612,-0.959798,-0.456292,-0.330839
2.62915,3.33162,-0.498958,3.73705,-0.372359,-3.52329,-0.188658,-1.70626,1.91656,-1.06538,-38.0031,-3.80993,-6.91196,5.09145,-1.68153,1.71653,0.982744,-0.653351,-1.19262,-0.460592,-2.24778,1.19019,-0.931346,-0.469862,-0.324692
2.59205,3.32955,-0.516344,3.75646,-0.383097,-3.89345,-0.225679,-1.76879,1.96521,-1.08207,-38.9102,-3.84918,-7.41359,5.25184,-1.69045,1.94808,0.821191,-0.727362,-1.21164,-0.538969,-2.27886,1.25737,-0.898718,-0.483617,-0.318188
2.55121,3.3271,-0.534379,3.77637,-0.394002,-4.27033,-0.263398,-1.83575,2.01538,-1.09884,-40.0189,-3.85832,-7.95943,5.41831,-1.69958,2.20042,0.622728,-0.811117,-1.23547,-0.629966,-2.30663,1.3277,-0.861474,-0.497553,-0.311314
2.50656,3.32428,-0.553108,3.79679,-0.405075,-4.65552,-0.301605,-1.90752,2.06711,-1.1157,-41.3623,-3.82916,-8.55232,5.59092,-1.7089,2.47243,0.379856,-0.905887,-1.26497,-0.735231,-2.32967,1.4012,-0.819137,-0.511664,-0.304055
2.45799,3.32107,-0.572582,3.81773,-0.416317,-5.05091,-0.340029,-1.98454,2.12049,-1.13265,-42.9751,-3.75183,-9.19508,5.7697,-1.71843,2.76249,0.083332,-1.01308,-1.30115,-0.856553,-2.34621,1.47786,-0.771192,-0.525948,-0.296398
2.40541,3.31748,-0.592857,3.83921,-0.42773,-5.45866,-0.378323,-2.06726,2.17555,-1.1497,-44.8923,-3.61448,-9.89042,5.95466,-1.72817,3.06799,-0.278263,-1.13423,-1.34518,-0.995854,-2.35408,1.55764,-0.717086,-0.540398,-0.288329
2.34867,3.31351,-0.61399,3.86126,-0.439313,-5.88131,-0.416049,-2.15617,2.23238,-1.16683,-47.1467,-3.40293,-10.6409,6.14578,-1.73812,3.38479,-0.719014,-1.27104,-1.39845,-1.15517,-2.35066,1.64046,-0.656223,-0.555008,-0.279833
2.28761,3.30917,-0.636048,3.88388,-0.451068,-6.32173,-0.452657,-2.25178,2.29102,-1.18407,-49.7646,-3.10032,-11.4486,6.34302,-1.7483,3.70621,-1.25618,-1.42533,-1.46258,-1.33663,-2.33278,1.72621,-0.587967,-0.569773,-0.270896
2.22202,3.30447,-0.659099,3.9071,-0.462995,-6.7831,-0.487469,-2.35462,2.35155,-1.2014,-52.7607,-2.68658,-12.3154,6.54631,-1.7587,4.02167,-1.91059,-1.59902,-1.53946,-1.54238,-2.29662,1.81473,-0.511638,-0.584686,-0.261503
